거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2015-06-30,풋고추_통합,7649.0,12379100.0,6959.0,9.9,12283800.0,0.8,5452.0,40.3,12201887.0,1.5
2015-07-01,풋고추_통합,7732.0,12782500.0,10431.0,-25.9,19146600.0,-33.2,5318.0,45.4,12784180.0,0.0
2015-07-02,풋고추_통합,4892.0,6662300.0,10151.0,-51.8,16225800.0,-58.9,5852.0,-16.4,13679067.0,-51.3
2015-07-03,풋고추_통합,6724.0,9226100.0,11139.0,-39.6,14479100.0,-36.3,6121.0,9.9,13451667.0,-31.4
2015-07-04,풋고추_통합,5367.0,7036500.0,7855.0,-31.7,11165250.0,-37.0,6109.0,-12.1,13024380.0,-46.0
2015-07-06,풋고추_통합,6138.0,10646700.0,,0.0,,0.0,5790.0,6.0,12289570.0,-13.4
2015-07-07,풋고추_통합,5707.0,10497900.0,12467.0,-54.2,17487100.0,-40.0,5351.0,6.7,11927253.0,-12.0
2015-07-08,풋고추_통합,4116.0,9387300.0,9993.0,-58.8,13492700.0,-30.4,5405.0,-23.8,12108713.0,-22.5
2015-07-09,풋고추_통합,5072.0,13939800.0,10220.0,-50.4,12391500.0,12.5,5878.0,-13.7,12173550.0,14.5
2015-07-10,풋고추_통합,7731.0,19802500.0,8361.0,-7.5,10492700.0,88.7,6213.0,24.4,11397877.0,73.7
2015-07-11,풋고추_통합,6721.0,13629800.0,8486.0,-20.8,10429000.0,30.7,6126.0,9.7,11200017.0,21.7
2015-07-13,풋고추_통합,7369.0,16166500.0,,0.0,,0.0,6782.0,8.7,13437030.0,20.3
2015-07-14,풋고추_통합,9335.0,16923500.0,13364.0,-30.1,17784100.0,-4.8,6901.0,35.3,13857170.0,22.1
2015-07-15,풋고추_통합,7262.0,11978700.0,10213.0,-28.9,14194200.0,-15.6,6728.0,7.9,14594783.0,-17.9
2015-07-16,풋고추_통합,7092.0,10833600.0,9314.0,-23.9,14290400.0,-24.2,7042.0,0.7,15652700.0,-30.8
2015-07-17,풋고추_통합,5262.0,7273000.0,9773.0,-46.2,17466800.0,-58.4,6859.0,-23.3,15093217.0,-51.8
2015-07-18,풋고추_통합,6124.0,8446600.0,9247.0,-33.8,17528300.0,-51.8,6671.0,-8.2,15028175.0,-43.8
2015-07-20,풋고추_통합,7325.0,13060500.0,,0.0,,0.0,7160.0,2.3,16808812.0,-22.3
2015-07-21,풋고추_통합,7738.0,12997750.0,14395.0,-46.2,22817500.0,-43.0,7567.0,2.3,17872862.0,-27.3
2015-07-22,풋고추_통합,5240.0,8681500.0,10380.0,-49.5,14760000.0,-41.2,7839.0,-33.2,18341978.0,-52.7
2015-07-23,풋고추_통합,5040.0,7907200.0,8901.0,-43.4,10634850.0,-25.6,8278.0,-39.1,18780447.0,-57.9
2015-07-24,풋고추_통합,5253.0,7594900.0,9730.0,-46.0,12753500.0,-40.4,7720.0,-32.0,17687160.0,-57.1
2015-07-25,풋고추_통합,4047.0,4435100.0,9002.0,-55.0,12011700.0,-63.1,7074.0,-42.8,15951313.0,-72.2
2015-07-27,풋고추_통합,5553.0,7032500.0,,0.0,,0.0,5837.0,-4.9,12378110.0,-43.2
2015-07-28,풋고추_통합,6044.0,7086000.0,12540.0,-51.8,19225800.0,-63.1,5583.0,8.3,11325847.0,-37.4
2015-07-29,풋고추_통합,3861.0,4747500.0,8950.0,-56.9,15336350.0,-69.0,5823.0,-33.7,11215867.0,-57.7
2015-07-30,풋고추_통합,3745.0,5059000.0,10924.0,-65.7,16696750.0,-69.7,6190.0,-39.5,11671670.0,-56.7
2015-07-31,풋고추_통합,4775.0,6285600.0,7978.0,-40.1,12957800.0,-51.5,6021.0,-20.7,11212317.0,-43.9
2015-08-01,풋고추_통합,1215.0,1172000.0,9923.0,-87.8,14067700.0,-91.7,6152.0,-80.3,11277133.0,-89.6
2015-08-03,풋고추_통합,5424.0,8557800.0,,0.0,,0.0,6066.0,-10.6,11979210.0,-28.6
2015-08-04,풋고추_통합,6724.0,9319500.0,10654.0,-36.9,17821900.0,-47.7,5584.0,20.4,10798403.0,-13.7
2015-08-05,풋고추_통합,4970.0,7550500.0,8322.0,-40.3,15858400.0,-52.4,5132.0,-3.2,11266317.0,-33.0
2015-08-06,풋고추_통합,4836.0,7262000.0,10219.0,-52.7,15577150.0,-53.4,5369.0,-9.9,13273227.0,-45.3
2015-08-07,풋고추_통합,5196.0,7236500.0,8129.0,-36.1,12273300.0,-41.0,5363.0,-3.1,13707907.0,-47.2
2015-08-08,풋고추_통합,5815.0,8191000.0,8518.0,-31.7,13087400.0,-37.4,5430.0,7.1,12904912.0,-36.5
2015-08-10,풋고추_통합,5032.0,9018500.0,,0.0,,0.0,5810.0,-13.4,13683288.0,-34.1
2015-08-11,풋고추_통합,5465.0,10541500.0,9626.0,-43.2,17509950.0,-39.8,5619.0,-2.7,12485008.0,-15.6
2015-08-12,풋고추_통합,4266.0,9735000.0,5965.0,-28.5,11131150.0,-12.5,5327.0,-19.9,11991775.0,-18.8
2015-08-13,풋고추_통합,4375.0,9359000.0,7244.0,-39.6,12513300.0,-25.2,5123.0,-14.6,12082747.0,-22.5
2015-08-14,풋고추_통합,3856.0,8911000.0,4167.0,-7.5,7549500.0,18.0,4756.0,-18.9,11789320.0,-24.4
2015-08-15,풋고추_통합,2658.0,5973000.0,6234.0,-57.4,13078900.0,-54.3,4695.0,-43.4,11712037.0,-49.0
2015-08-17,풋고추_통합,3863.0,9633200.0,,0.0,,0.0,4839.0,-20.2,11639610.0,-17.2
2015-08-18,풋고추_통합,4022.0,8654000.0,9075.0,-55.7,24615900.0,-64.8,5086.0,-20.9,11469850.0,-24.6
2015-08-19,풋고추_통합,3157.0,7247500.0,5043.0,-37.4,13345200.0,-45.7,5077.0,-37.8,11167800.0,-35.1
2015-08-20,풋고추_통합,4362.0,8259700.0,5986.0,-27.1,14719400.0,-43.9,4907.0,-11.1,10735573.0,-23.1
2015-08-21,풋고추_통합,3436.0,6768500.0,5335.0,-35.6,13904000.0,-51.3,4451.0,-22.8,10404378.0,-34.9
2015-08-22,풋고추_통합,3111.0,7279100.0,5640.0,-44.8,13216370.0,-44.9,4233.0,-26.5,10578228.0,-31.2
2015-08-24,풋고추_통합,4709.0,11272400.0,,0.0,,0.0,3829.0,23.0,11001705.0,2.5
2015-08-25,풋고추_통합,3647.0,8701000.0,7273.0,-49.9,19913900.0,-56.3,3872.0,-5.8,11467873.0,-24.1
2015-08-26,풋고추_통합,3507.0,8154500.0,5358.0,-34.5,17485400.0,-53.4,3990.0,-12.1,11689987.0,-30.2
2015-08-27,풋고추_통합,3287.0,7449800.0,6464.0,-49.1,19426900.0,-61.7,3971.0,-17.2,12264757.0,-39.3
2015-08-28,풋고추_통합,3084.0,5888000.0,4871.0,-36.7,15248400.0,-61.4,3647.0,-15.4,11891993.0,-50.5
2015-08-29,풋고추_통합,3199.0,4519600.0,5226.0,-38.8,17451700.0,-74.1,3593.0,-11.0,11740587.0,-61.5
2015-08-31,풋고추_통합,4057.0,6627500.0,,0.0,,0.0,3400.0,19.3,10978063.0,-39.6
2015-09-01,풋고추_통합,3250.0,4986500.0,7172.0,-54.7,25979500.0,-80.8,3561.0,-8.7,10582233.0,-52.9
2015-09-02,풋고추_통합,2885.0,4768500.0,5019.0,-42.5,20395675.0,-76.6,3469.0,-16.8,10040187.0,-52.5
2015-09-03,풋고추_통합,2271.0,3178200.0,6864.0,-66.9,25649325.0,-87.6,3620.0,-37.3,10634970.0,-70.1
2015-09-04,풋고추_통합,2450.0,3986500.0,5040.0,-51.4,20933425.0,-81.0,3762.0,-34.9,11573597.0,-65.6
2015-09-05,풋고추_통합,2857.0,4140700.0,8085.0,-64.7,35425225.0,-88.3,3611.0,-20.9,11781417.0,-64.9
2015-09-07,풋고추_통합,3347.0,5686000.0,,0.0,,0.0,3994.0,-16.2,13802770.0,-58.8
2015-09-08,풋고추_통합,3016.0,5326000.0,,0.0,,0.0,4077.0,-26.0,14035153.0,-62.1
2015-09-09,풋고추_통합,2886.0,5592100.0,,0.0,,0.0,4133.0,-30.2,13851170.0,-59.6
2015-09-10,풋고추_통합,1780.0,3244000.0,,0.0,,0.0,4280.0,-58.4,13698308.0,-76.3
2015-09-11,풋고추_통합,1686.0,3823000.0,5867.0,-71.3,18948100.0,-79.8,4124.0,-59.1,12668763.0,-69.8
2015-09-12,풋고추_통합,1420.0,3743300.0,6129.0,-76.8,20277450.0,-81.5,3916.0,-63.7,11889190.0,-68.5
2015-09-14,풋고추_통합,2294.0,6095000.0,,0.0,,0.0,3899.0,-41.2,12344740.0,-50.6
2015-09-15,풋고추_통합,2406.0,6163700.0,6070.0,-60.4,15428300.0,-60.0,4267.0,-43.6,13048901.0,-52.8
2015-09-16,풋고추_통합,3022.0,8005500.0,5178.0,-41.6,11899500.0,-32.7,4511.0,-33.0,12964247.0,-38.2
2015-09-17,풋고추_통합,2080.0,5624100.0,5912.0,-64.8,13709000.0,-59.0,4599.0,-54.8,12019753.0,-53.2
2015-09-18,풋고추_통합,2263.0,6204200.0,5363.0,-57.8,11905400.0,-47.9,4804.0,-52.9,11473620.0,-45.9
2015-09-19,풋고추_통합,2331.0,4889400.0,5598.0,-58.4,13155500.0,-62.8,4658.0,-50.0,10636143.0,-54.0
2015-09-21,풋고추_통합,3858.0,7396700.0,,0.0,,0.0,4096.0,-5.8,9354830.0,-20.9
2015-09-22,풋고추_통합,3457.0,6011000.0,5430.0,-36.3,14894500.0,-59.6,3735.0,-7.4,9840565.0,-38.9
2015-09-23,풋고추_통합,2742.0,5784500.0,5718.0,-52.0,14327600.0,-59.6,3526.0,-22.2,9939400.0,-41.8
2015-09-24,풋고추_통합,3728.0,7064500.0,3559.0,4.7,8406000.0,-16.0,3667.0,1.7,9879553.0,-28.5
2015-09-25,풋고추_통합,4837.0,6044500.0,4930.0,-1.9,11528800.0,-47.6,4195.0,15.3,11069973.0,-45.4
2015-09-26,풋고추_통합,1341.0,932900.0,5180.0,-74.1,12210400.0,-92.4,4261.0,-68.5,12225539.0,-92.4
2015-09-30,풋고추_통합,2527.0,4425200.0,5678.0,-55.5,10575400.0,-58.2,4856.0,-48.0,11043631.0,-59.9
2015-10-01,풋고추_통합,4349.0,6944500.0,6644.0,-34.5,11346600.0,-38.8,5032.0,-13.6,10307372.0,-32.6
2015-10-02,풋고추_통합,4013.0,5681500.0,4980.0,-19.4,7957300.0,-28.6,5341.0,-24.9,11240818.0,-49.5
2015-10-03,풋고추_통합,4293.0,3797800.0,4864.0,-11.7,8120900.0,-53.2,5699.0,-24.7,11722802.0,-67.6
2015-10-05,풋고추_통합,4026.0,3465000.0,,0.0,,0.0,6065.0,-33.6,11429513.0,-69.7
2015-10-06,풋고추_통합,3430.0,2949700.0,5747.0,-40.3,10237700.0,-71.2,6063.0,-43.4,10996740.0,-73.2
2015-10-07,풋고추_통합,3335.0,3048800.0,4778.0,-30.2,8254400.0,-63.1,6080.0,-45.1,10588833.0,-71.2
2015-10-08,풋고추_통합,3096.0,3198600.0,5261.0,-41.2,9819600.0,-67.4,6276.0,-50.7,11033783.0,-71.0
2015-10-09,풋고추_통합,3110.0,3162500.0,4217.0,-26.3,7403900.0,-57.3,6214.0,-50.0,11197220.0,-71.8
2015-10-10,풋고추_통합,2572.0,2657400.0,5878.0,-56.2,10767700.0,-75.3,6313.0,-59.3,11666580.0,-77.2
2015-10-12,풋고추_통합,3894.0,5128100.0,,0.0,,0.0,6793.0,-42.7,13676077.0,-62.5
2015-10-13,풋고추_통합,3096.0,4869400.0,8241.0,-62.4,13741000.0,-64.6,7180.0,-56.9,15109307.0,-67.8
2015-10-14,풋고추_통합,2769.0,3824600.0,4134.0,-33.0,10576100.0,-63.8,7071.0,-60.8,16152952.0,-76.3
2015-10-15,풋고추_통합,4005.0,5021200.0,6682.0,-40.1,16264200.0,-69.1,7049.0,-43.2,16829495.0,-70.2
2015-10-16,풋고추_통합,4858.0,5885700.0,5403.0,-10.1,11695200.0,-49.7,7420.0,-34.5,18367329.0,-68.0
2015-10-17,풋고추_통합,2983.0,3270800.0,6087.0,-51.0,13580500.0,-75.9,8059.0,-63.0,18544502.0,-82.4
2015-10-19,풋고추_통합,4227.0,4916700.0,,0.0,,0.0,7846.0,-46.1,16086743.0,-69.4
2015-10-20,풋고추_통합,4121.0,5158700.0,5993.0,-31.2,11992300.0,-57.0,7825.0,-47.3,15884540.0,-67.5
2015-10-21,풋고추_통합,3407.0,3961700.0,3687.0,-7.6,7328575.0,-45.9,7391.0,-53.9,15596893.0,-74.6
2015-10-22,풋고추_통합,3662.0,4306700.0,4410.0,-17.0,9934400.0,-56.6,7283.0,-49.7,15761620.0,-72.7
2015-10-23,풋고추_통합,2720.0,3153300.0,7007.0,-61.2,13022900.0,-75.8,7045.0,-61.4,15788760.0,-80.0
2015-10-24,풋고추_통합,2212.0,2781600.0,5159.0,-57.1,11695600.0,-76.2,6900.0,-67.9,15866003.0,-82.5
2015-10-26,풋고추_통합,4246.0,5473100.0,,0.0,,0.0,6157.0,-31.0,14267850.0,-61.6
2015-10-27,풋고추_통합,3073.0,4417200.0,3776.0,-18.6,9118300.0,-51.6,6145.0,-50.0,14717490.0,-70.0
2015-10-28,풋고추_통합,3640.0,6466900.0,1812.0,100.9,3750700.0,72.4,6254.0,-41.8,15341533.0,-57.8
2015-10-29,풋고추_통합,4918.0,6382500.0,4609.0,6.7,14162900.0,-54.9,6129.0,-19.8,15158477.0,-57.9
2015-10-30,풋고추_통합,2709.0,3735200.0,3354.0,-19.2,7696700.0,-51.5,5985.0,-54.7,15522577.0,-75.9
2015-10-31,풋고추_통합,3183.0,3545800.0,3893.0,-18.2,12196200.0,-70.9,5623.0,-43.4,15818967.0,-77.6
2015-11-02,풋고추_통합,1512.0,2321000.0,,0.0,,0.0,4857.0,-68.9,14220597.0,-83.7
2015-11-03,풋고추_통합,1762.0,2979000.0,3844.0,-54.2,13249300.0,-77.5,4807.0,-63.3,14342583.0,-79.2
2015-11-04,풋고추_통합,2791.0,4912100.0,4354.0,-35.9,14216400.0,-65.4,4706.0,-40.7,15296573.0,-67.9
2015-11-05,풋고추_통합,1379.0,2853000.0,3709.0,-62.8,10599200.0,-73.1,4752.0,-71.0,15482403.0,-81.6
2015-11-06,풋고추_통합,1667.0,3042600.0,3567.0,-53.3,10382800.0,-70.7,4978.0,-66.5,15648203.0,-80.6
2015-11-07,풋고추_통합,627.0,1404400.0,1881.0,-66.7,7000700.0,-79.9,4822.0,-87.0,14629300.0,-90.4
2015-11-09,풋고추_통합,993.0,2324500.0,,0.0,,0.0,4125.0,-75.9,12182512.0,-80.9
2015-11-10,풋고추_통합,1629.0,3937500.0,2079.0,-21.6,7560900.0,-47.9,3955.0,-58.8,12026055.0,-67.3
2015-11-11,풋고추_통합,2085.0,5429400.0,1894.0,10.1,7477800.0,-27.4,3775.0,-44.8,11783205.0,-53.9
2015-11-12,풋고추_통합,1786.0,4951000.0,1769.0,1.0,8824400.0,-43.9,3806.0,-53.1,12651768.0,-60.9
2015-11-13,풋고추_통합,960.0,2816000.0,1270.0,-24.4,6270800.0,-55.1,3830.0,-74.9,13075335.0,-78.5
2015-11-14,풋고추_통합,780.0,1825500.0,1712.0,-54.4,8017200.0,-77.2,3887.0,-79.9,13309135.0,-86.3
2015-11-16,풋고추_통합,1522.0,4219000.0,,0.0,,0.0,3791.0,-59.9,13088332.0,-67.8
2015-11-17,풋고추_통합,2920.0,8589100.0,1746.0,67.2,7903550.0,8.7,3758.0,-22.3,13050822.0,-34.2
2015-11-18,풋고추_통합,2514.0,7122100.0,2704.0,-7.0,13080400.0,-45.6,3857.0,-34.8,13058215.0,-45.5
2015-11-19,풋고추_통합,2208.0,6081500.0,1924.0,14.8,9068400.0,-32.9,3965.0,-44.3,13366853.0,-54.5
2015-11-20,풋고추_통합,2367.0,6341000.0,943.0,151.0,3680125.0,72.3,3936.0,-39.9,13462723.0,-52.9
2015-11-21,풋고추_통합,1520.0,4145700.0,1122.0,35.5,4580900.0,-9.5,3835.0,-60.4,12551247.0,-67.0
2015-11-23,풋고추_통합,1664.0,5077300.0,,0.0,,0.0,3599.0,-53.8,10886980.0,-53.4
2015-11-24,풋고추_통합,1005.0,3354500.0,1597.0,-37.1,7915000.0,-57.6,3520.0,-71.4,11120433.0,-69.8
2015-11-25,풋고추_통합,2255.0,7678000.0,1772.0,27.3,8278450.0,-7.3,3439.0,-34.4,11632183.0,-34.0
2015-11-26,풋고추_통합,4102.0,11889500.0,3134.0,30.9,14537300.0,-18.2,3355.0,22.3,11573412.0,2.7
2015-11-27,풋고추_통합,3253.0,7862800.0,4270.0,-23.8,18493500.0,-57.5,3165.0,2.8,11151872.0,-29.5
2015-11-28,풋고추_통합,1988.0,4609300.0,2463.0,-19.3,9556275.0,-51.8,3017.0,-34.1,10947068.0,-57.9
2015-11-30,풋고추_통합,3523.0,8017000.0,,0.0,,0.0,2604.0,35.3,10552278.0,-24.0
2015-12-01,풋고추_통합,2047.0,4576700.0,2593.0,-21.1,10915000.0,-58.1,2797.0,-26.8,11826760.0,-61.3
2015-12-02,풋고추_통합,1843.0,4105500.0,2615.0,-29.5,10288500.0,-60.1,3184.0,-42.1,12526442.0,-67.2
2015-12-03,풋고추_통합,1905.0,3939400.0,2959.0,-35.6,10540000.0,-62.6,3390.0,-43.8,13173735.0,-70.1
2015-12-04,풋고추_통합,3089.0,6319000.0,3695.0,-16.4,13186225.0,-52.1,3240.0,-4.7,13146802.0,-51.9
2015-12-05,풋고추_통합,1274.0,2424000.0,2804.0,-54.6,9511900.0,-74.5,3150.0,-59.6,12758338.0,-81.0
2015-12-07,풋고추_통합,2245.0,4464000.0,,0.0,,0.0,3111.0,-27.8,11494227.0,-61.2
2015-12-08,풋고추_통합,2485.0,5638000.0,2834.0,-12.3,11016600.0,-48.8,3271.0,-24.0,11373710.0,-50.4
2015-12-09,풋고추_통합,2256.0,4794000.0,1631.0,38.3,5649300.0,-15.1,3721.0,-39.4,11846287.0,-59.5
2015-12-10,풋고추_통합,1967.0,4477700.0,2684.0,-26.7,9434800.0,-52.5,3768.0,-47.8,11747053.0,-61.9
2015-12-11,풋고추_통합,2387.0,5380500.0,6139.0,-61.1,16361400.0,-67.1,3533.0,-32.4,11288167.0,-52.3
2015-12-12,풋고추_통합,1219.0,3492000.0,2761.0,-55.8,8123200.0,-57.0,3422.0,-64.4,11695640.0,-70.1
2015-12-14,풋고추_통합,1817.0,5577400.0,,0.0,,0.0,3203.0,-43.3,11559085.0,-51.7
2015-12-15,풋고추_통합,2558.0,8836000.0,3552.0,-28.0,12361000.0,-28.5,3060.0,-16.4,11075891.0,-20.2
2015-12-16,풋고추_통합,2475.0,8210000.0,4013.0,-38.3,13264620.0,-38.1,3086.0,-19.8,10876525.0,-24.5
2015-12-17,풋고추_통합,1497.0,6428500.0,1580.0,-5.3,5278400.0,21.8,3205.0,-53.3,10864271.0,-40.8
2015-12-18,풋고추_통합,2093.0,9994000.0,1877.0,11.5,6012200.0,66.2,3062.0,-31.6,10177438.0,-1.8
2015-12-19,풋고추_통합,4552.0,17065000.0,2540.0,79.2,8622000.0,97.9,2951.0,54.3,9724390.0,75.5
2015-12-21,풋고추_통합,3751.0,17257000.0,,0.0,,0.0,2901.0,29.3,10200613.0,69.2
2015-12-22,풋고추_통합,2808.0,9829000.0,2921.0,-3.9,7769300.0,26.5,2631.0,6.7,9180427.0,7.1
2015-12-23,풋고추_통합,2911.0,9112500.0,1187.0,145.2,4673000.0,95.0,2494.0,16.7,8691987.0,4.8
2015-12-24,풋고추_통합,3219.0,9786000.0,1649.0,95.2,6850200.0,42.9,2572.0,25.2,9559677.0,2.4
2015-12-25,풋고추_통합,3711.0,10982500.0,1632.0,127.4,6518900.0,68.5,2577.0,44.0,10300883.0,6.6
2015-12-26,풋고추_통합,3526.0,9203500.0,3915.0,-9.9,19645500.0,-53.2,2705.0,30.4,11599997.0,-20.7
2015-12-28,풋고추_통합,4115.0,9058000.0,,0.0,,0.0,3197.0,28.7,11397970.0,-20.5
2015-12-29,풋고추_통합,2932.0,6420500.0,4925.0,-40.5,33115500.0,-80.6,3296.0,-11.0,12251987.0,-47.6
2015-12-30,풋고추_통합,4052.0,7926600.0,5542.0,-26.9,35602300.0,-77.7,3339.0,21.4,13388303.0,-40.8
2015-12-31,풋고추_통합,6772.0,9434700.0,4281.0,58.2,24230200.0,-61.1,3487.0,94.2,14835745.0,-36.4
2016-01-04,풋고추_통합,7630.0,12706100.0,,0.0,,0.0,4066.0,87.7,18053801.0,-29.6
2016-01-05,풋고추_통합,5911.0,10197500.0,7286.0,-18.9,27247200.0,-62.6,3983.0,48.4,17608734.0,-42.1
2016-01-06,풋고추_통합,3665.0,6410100.0,6246.0,-41.3,20428500.0,-68.6,3780.0,-3.0,15920651.0,-59.7
2016-01-07,풋고추_통합,4799.0,7683800.0,2832.0,69.5,9645600.0,-20.3,3761.0,27.6,14870283.0,-48.3
2016-01-08,풋고추_통합,4692.0,7668700.0,1926.0,143.6,6276950.0,22.2,3354.0,39.9,13935055.0,-45.0
2016-01-09,풋고추_통합,2051.0,3351200.0,3584.0,-42.8,10801200.0,-69.0,2901.0,-29.3,12720092.0,-73.7
2016-01-11,풋고추_통합,2269.0,5161600.0,,0.0,,0.0,3216.0,-29.4,13085397.0,-60.6
2016-01-12,풋고추_통합,1216.0,3797900.0,3702.0,-67.2,12138400.0,-68.7,3143.0,-61.3,12689622.0,-70.1
2016-01-13,풋고추_통합,2330.0,7931900.0,4480.0,-48.0,13956425.0,-43.2,3341.0,-30.3,13378388.0,-40.7
2016-01-14,풋고추_통합,2564.0,10556200.0,3440.0,-25.5,10395700.0,1.5,3562.0,-28.0,15065885.0,-29.9
2016-01-15,풋고추_통합,3698.0,16231600.0,2714.0,36.3,7758700.0,109.2,3689.0,0.2,14165423.0,14.6
2016-01-16,풋고추_통합,3323.0,13677800.0,5221.0,-36.4,13824100.0,-1.1,3592.0,-7.5,12954275.0,5.6
2016-01-18,풋고추_통합,3220.0,14432300.0,,0.0,,0.0,3499.0,-8.0,13849212.0,4.2
2016-01-19,풋고추_통합,1299.0,6570500.0,3160.0,-58.9,10651600.0,-38.3,3324.0,-60.9,13813428.0,-52.4
2016-01-20,풋고추_통합,1760.0,7948500.0,2174.0,-19.0,7862200.0,1.1,3301.0,-46.7,14885643.0,-46.6
2016-01-21,풋고추_통합,2403.0,9436000.0,3224.0,-25.5,12038300.0,-21.6,3526.0,-31.8,16179625.0,-41.7
2016-01-22,풋고추_통합,4134.0,16105700.0,2476.0,67.0,10272000.0,56.8,3253.0,27.1,16709079.0,-3.6
2016-01-23,풋고추_통합,4246.0,16215400.0,3433.0,23.7,14528000.0,11.6,3189.0,33.1,16390863.0,-1.1
2016-01-25,풋고추_통합,3463.0,13657600.0,,0.0,,0.0,3426.0,1.1,17588293.0,-22.3
2016-01-26,풋고추_통합,2463.0,9816800.0,3393.0,-27.4,17756000.0,-44.7,3445.0,-28.5,17052923.0,-42.4
2016-01-27,풋고추_통합,3248.0,13962500.0,1700.0,91.1,9831000.0,42.0,3449.0,-5.8,16234723.0,-14.0
2016-01-28,풋고추_통합,4068.0,15920500.0,2291.0,77.6,14204700.0,12.1,3482.0,16.8,18063360.0,-11.9
2016-01-29,풋고추_통합,4148.0,15886700.0,2799.0,48.2,16605500.0,-4.3,3329.0,24.6,18860787.0,-15.8
2016-01-30,풋고추_통합,2700.0,12002700.0,2448.0,10.3,17746000.0,-32.4,3248.0,-16.9,18995347.0,-36.8
2016-02-01,풋고추_통합,3639.0,18588100.0,,0.0,,0.0,3312.0,9.9,19138812.0,-2.9
2016-02-02,풋고추_통합,1961.0,11492200.0,4266.0,-54.0,33034500.0,-65.2,3850.0,-49.1,21543787.0,-46.7
2016-02-03,풋고추_통합,3224.0,16128500.0,3902.0,-17.4,27759000.0,-41.9,4117.0,-21.7,21829339.0,-26.1
2016-02-04,풋고추_통합,4209.0,24443600.0,5626.0,-25.2,32162500.0,-24.0,4191.0,0.4,22403695.0,9.1
2016-02-05,풋고추_통합,3371.0,22178700.0,3358.0,0.4,20023000.0,10.8,4349.0,-22.5,23907344.0,-7.2
2016-02-06,풋고추_통합,2727.0,19942900.0,3862.0,-29.4,25001500.0,-20.2,4543.0,-40.0,23512987.0,-15.2
2016-02-11,풋고추_통합,3920.0,27290600.0,2780.0,41.0,17093500.0,59.7,3009.0,30.3,14403902.0,89.5
2016-02-12,풋고추_통합,4111.0,24698600.0,2902.0,41.7,17535000.0,40.9,2886.0,42.4,15668218.0,57.6
2016-02-13,풋고추_통합,3238.0,18049700.0,4470.0,-27.6,29012000.0,-37.8,2703.0,19.8,15897792.0,13.5
2016-02-15,풋고추_통합,3492.0,16455700.0,,0.0,,0.0,3061.0,14.1,16104540.0,2.2
2016-02-16,풋고추_통합,2391.0,10417000.0,6437.0,-62.9,42450500.0,-75.5,3158.0,-24.3,16466993.0,-36.7
2016-02-17,풋고추_통합,3220.0,13848500.0,2446.0,31.6,19750500.0,-29.9,3052.0,5.5,17014683.0,-18.6
2016-02-18,풋고추_통합,3098.0,14578200.0,110.0,2716.4,1131000.0,1189.0,3088.0,0.3,18566502.0,-21.5
2016-02-19,풋고추_통합,3144.0,17022700.0,,0.0,,0.0,2791.0,12.6,17265421.0,-1.4
2016-02-20,풋고추_통합,4755.0,26171400.0,,0.0,,0.0,2675.0,77.8,17768377.0,47.3
2016-02-22,풋고추_통합,4498.0,25192700.0,,0.0,,0.0,2642.0,70.2,17655800.0,42.7
2016-02-23,풋고추_통합,2558.0,13414000.0,6925.0,-63.1,44269500.0,-69.7,2681.0,-4.6,17627497.0,-23.9
2016-02-24,풋고추_통합,2805.0,13502800.0,3922.0,-28.5,28607000.0,-52.8,2727.0,2.9,19557443.0,-31.0
2016-02-25,풋고추_통합,5128.0,22199400.0,1685.0,204.3,12162000.0,82.5,2898.0,76.9,21029557.0,5.6
2016-02-26,풋고추_통합,6543.0,23148500.0,1040.0,529.1,7272000.0,218.3,3008.0,117.5,21625757.0,7.0
2016-02-27,풋고추_통합,6601.0,17575100.0,3083.0,114.1,20081100.0,-12.5,3138.0,110.4,23332690.0,-24.7
2016-02-29,풋고추_통합,7257.0,17380700.0,2710.0,167.8,17137500.0,1.4,3406.0,113.1,24676203.0,-29.6
2016-03-01,풋고추_통합,4014.0,10964900.0,,0.0,,0.0,3381.0,18.7,25113197.0,-56.3
2016-03-02,풋고추_통합,3500.0,9580200.0,7266.0,-51.8,42780000.0,-77.6,3255.0,7.5,24334310.0,-60.6
2016-03-03,풋고추_통합,5669.0,13847000.0,5461.0,3.8,30498000.0,-54.6,3280.0,72.8,24351443.0,-43.1
2016-03-04,풋고추_통합,6710.0,16263500.0,3809.0,76.2,19881500.0,-18.2,3278.0,104.7,24270463.0,-33.0
2016-03-05,풋고추_통합,5547.0,13562500.0,3578.0,55.0,16500500.0,-17.8,3363.0,64.9,23781338.0,-43.0
2016-03-07,풋고추_통합,6133.0,15880100.0,2776.0,120.9,12491000.0,27.1,3664.0,67.4,24509415.0,-35.2
2016-03-08,풋고추_통합,2596.0,8288200.0,,0.0,,0.0,3629.0,-28.5,23964732.0,-65.4
2016-03-09,풋고추_통합,2862.0,8727000.0,5846.0,-51.0,22397500.0,-61.0,3396.0,-15.7,23824990.0,-63.4
2016-03-10,풋고추_통합,5216.0,17089900.0,4184.0,24.7,14461500.0,18.2,3331.0,56.6,22192673.0,-23.0
2016-03-11,풋고추_통합,4571.0,16579200.0,2089.0,118.8,7353000.0,125.5,3351.0,36.4,21698897.0,-23.6
