거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,시금치(일반),31034.0,178244250.0,,0.0,,0.0,33938.0,-8.6,149615386.0,19.1
2025-06-29,시금치(일반),,,32655.0,0.0,154431100.0,0.0,35472.0,0.0,158330053.0,0.0
2025-06-28,시금치(일반),35116.0,154534020.0,33441.0,5.0,149073160.0,3.7,36953.0,-5.0,162183448.0,-4.7
2025-06-27,시금치(일반),37000.0,175106780.0,35087.0,5.5,159925100.0,9.5,37885.0,-2.3,163037614.0,7.4
2025-06-26,시금치(일반),38019.0,180680680.0,38104.0,-0.2,180045600.0,0.4,38133.0,-0.3,161027291.0,12.2
2025-06-25,시금치(일반),40219.0,163798320.0,35301.0,13.9,171469600.0,-4.5,38778.0,3.7,157913740.0,3.7
2025-06-24,시금치(일반),49282.0,151880940.0,38191.0,29.0,193400700.0,-21.5,40151.0,22.7,162119264.0,-6.3
2025-06-23,시금치(일반),50890.0,157735950.0,,0.0,,0.0,42300.0,20.3,162744149.0,-3.1
2025-06-22,시금치(일반),,,33834.0,0.0,148908700.0,0.0,43258.0,0.0,160120353.0,0.0
2025-06-21,시금치(일반),54635.0,155568200.0,39793.0,37.3,158038580.0,-1.6,43561.0,25.4,157023818.0,-0.9
2025-06-20,시금치(일반),47643.0,149552440.0,41180.0,15.7,167922900.0,-10.9,43492.0,9.5,152685488.0,-2.1
2025-06-19,시금치(일반),46067.0,141801520.0,40678.0,13.2,152252340.0,-6.9,43534.0,5.8,146429559.0,-3.2
2025-06-18,시금치(일반),52355.0,148815540.0,39504.0,32.5,145731300.0,2.1,44035.0,18.9,143888115.0,3.4
2025-06-17,시금치(일반),51760.0,148007500.0,42380.0,22.1,137267600.0,7.8,44959.0,15.1,139231461.0,6.3
2025-06-16,시금치(일반),55756.0,167217600.0,,0.0,,0.0,46249.0,20.6,139429363.0,19.9
2025-06-15,시금치(일반),,,48860.0,0.0,112409060.0,0.0,47664.0,0.0,141679988.0,0.0
2025-06-14,시금치(일반),52620.0,149055300.0,52207.0,0.8,135765720.0,9.8,48837.0,7.7,143770302.0,3.7
2025-06-13,시금치(일반),53756.0,146893000.0,49277.0,9.1,156212800.0,-6.0,50053.0,7.4,145476459.0,1.0
2025-06-12,시금치(일반),52776.0,148604800.0,55084.0,-4.2,154364760.0,-3.7,50403.0,4.7,149860640.0,-0.8
2025-06-11,시금치(일반),50972.0,154278600.0,57480.0,-11.3,158088500.0,-2.4,50085.0,1.8,150335123.0,2.6
2025-06-10,시금치(일반),48640.0,168756700.0,59172.0,-17.8,176829160.0,-4.6,51364.0,-5.3,146341595.0,15.3
2025-06-09,시금치(일반),50392.0,163474200.0,,0.0,,0.0,51796.0,-2.7,146313420.0,11.7
2025-06-08,시금치(일반),,,49622.0,0.0,129979680.0,0.0,51901.0,0.0,147563967.0,0.0
2025-06-07,시금치(일반),49938.0,133415950.0,53195.0,-6.1,136468000.0,-2.2,51764.0,-3.5,145972912.0,-8.6
2025-06-06,시금치(일반),54165.0,143620110.0,55792.0,-2.9,146741220.0,-2.1,51875.0,4.4,145118638.0,-1.0
2025-06-05,시금치(일반),54832.0,161582600.0,53524.0,2.4,155494320.0,3.9,52887.0,3.7,148427668.0,8.9
2025-06-04,시금치(일반),54903.0,168035740.0,55638.0,-1.3,168110160.0,0.0,52968.0,3.7,148404028.0,13.2
2025-06-03,시금치(일반),51108.0,166996600.0,61494.0,-16.9,160557150.0,4.0,54101.0,-5.5,146772910.0,13.8
2025-06-02,시금치(일반),58351.0,192128400.0,,0.0,,0.0,55446.0,5.2,146941054.0,30.8
2025-06-01,시금치(일반),,,61691.0,0.0,137257200.0,0.0,56872.0,0.0,148067576.0,0.0
2025-05-31,시금치(일반),53214.0,152091500.0,62528.0,-14.9,136805900.0,11.2,57180.0,-6.9,147326999.0,3.2
2025-05-30,시금치(일반),56818.0,143919200.0,68428.0,-17.0,148759100.0,-3.3,56861.0,-0.1,148533354.0,-3.1
2025-05-29,시금치(일반),57623.0,147993760.0,64719.0,-11.0,154439500.0,-4.2,54710.0,5.3,150907246.0,-1.9
2025-05-28,시금치(일반),59809.0,152955940.0,66488.0,-10.0,175333160.0,-12.8,53376.0,12.1,149045083.0,2.6
2025-05-27,시금치(일반),64404.0,162201500.0,65909.0,-2.3,177547240.0,-8.6,53694.0,19.9,145189374.0,11.7
2025-05-26,시금치(일반),70366.0,160238500.0,,0.0,,0.0,54647.0,28.8,145931279.0,9.8
2025-05-25,시금치(일반),,,60483.0,0.0,151038820.0,0.0,55693.0,0.0,148511100.0,0.0
2025-05-24,시금치(일반),67001.0,140177500.0,65126.0,2.9,172275300.0,-18.6,57921.0,15.7,153778923.0,-8.8
2025-05-23,시금치(일반),67416.0,145726750.0,58420.0,15.4,174105400.0,-16.3,58181.0,15.9,155289208.0,-6.2
2025-05-22,시금치(일반),63648.0,153605900.0,60191.0,5.7,201067580.0,-23.6,57957.0,9.8,154919422.0,-0.8
2025-05-21,시금치(일반),57408.0,153546770.0,57512.0,-0.2,197916040.0,-22.4,56880.0,0.9,154271460.0,-0.5
2025-05-20,시금치(일반),61391.0,146966340.0,64895.0,-5.4,210084010.0,-30.0,57083.0,7.5,153494870.0,-4.3
2025-05-19,시금치(일반),70941.0,159503400.0,,0.0,,0.0,56692.0,25.1,152335241.0,4.7
2025-05-18,시금치(일반),,,56126.0,0.0,176278170.0,0.0,57261.0,0.0,157526774.0,0.0
2025-05-17,시금치(일반),68864.0,153889900.0,60608.0,13.6,173198280.0,-11.1,57929.0,18.9,158961383.0,-3.2
2025-05-16,시금치(일반),65021.0,156397780.0,60380.0,7.7,154159700.0,1.5,58618.0,10.9,158448440.0,-1.3
2025-05-15,시금치(일반),64184.0,164069700.0,63866.0,0.5,148878310.0,10.2,58391.0,9.9,157991359.0,3.8
2025-05-14,시금치(일반),61800.0,173272200.0,74991.0,-17.6,175834820.0,-1.5,58504.0,5.6,160405978.0,8.0
2025-05-13,시금치(일반),62335.0,175831060.0,79607.0,-21.7,181224700.0,-3.0,58606.0,6.4,159859042.0,10.0
2025-05-12,시금치(일반),65234.0,165563100.0,,0.0,,0.0,58955.0,10.7,162351255.0,2.0
2025-05-11,시금치(일반),,,72420.0,0.0,160848940.0,0.0,59567.0,0.0,163513062.0,0.0
2025-05-10,시금치(일반),64417.0,156812560.0,73072.0,-11.8,174767700.0,-10.3,60867.0,5.8,163914521.0,-4.3
2025-05-09,시금치(일반),58168.0,136613500.0,63600.0,-8.5,166625700.0,-18.0,61000.0,-4.6,160831835.0,-15.1
2025-05-08,시금치(일반),65752.0,140810100.0,63308.0,3.9,176529700.0,-20.2,59567.0,10.4,160068234.0,-12.0
2025-05-07,시금치(일반),62176.0,138494250.0,60308.0,3.1,157125100.0,-11.9,57707.0,7.7,156664116.0,-11.6
2025-05-06,시금치(일반),55755.0,125491450.0,63674.0,-12.4,163581750.0,-23.3,57998.0,-3.9,155638400.0,-19.4
2025-05-05,시금치(일반),70370.0,164658110.0,,0.0,,0.0,58093.0,21.1,155429390.0,5.9
2025-05-04,시금치(일반),,,60490.0,0.0,180973900.0,0.0,58131.0,0.0,156393267.0,0.0
2025-05-03,시금치(일반),58631.0,149540680.0,59609.0,-1.6,162412550.0,-7.9,59215.0,-1.0,155611690.0,-3.9
2025-05-02,시금치(일반),46272.0,118962300.0,58103.0,-20.4,157384010.0,-24.4,60353.0,-23.3,157373329.0,-24.4
2025-05-01,시금치(일반),50032.0,119961440.0,65044.0,-23.1,154261600.0,-22.2,60948.0,-17.9,157160929.0,-23.7
2025-04-30,시금치(일반),54632.0,120338200.0,64286.0,-15.0,149718400.0,-19.6,61174.0,-10.7,154915045.0,-22.3
2025-04-29,시금치(일반),64446.0,132420280.0,80252.0,-19.7,180078860.0,-26.5,61731.0,4.4,153746963.0,-13.9
2025-04-28,시금치(일반),73322.0,144379900.0,,0.0,,0.0,63065.0,16.3,154640923.0,-6.6
2025-04-27,시금치(일반),,,76774.0,0.0,162404600.0,0.0,63873.0,0.0,157006892.0,0.0
2025-04-26,시금치(일반),69891.0,120039300.0,74478.0,-6.2,157179200.0,-23.6,65316.0,7.0,154653517.0,-22.4
2025-04-25,시금치(일반),73112.0,131150700.0,74573.0,-2.0,157854500.0,-16.9,66235.0,10.4,153831077.0,-14.7
2025-04-24,시금치(일반),73104.0,139392620.0,72730.0,0.5,160456300.0,-13.1,66727.0,9.6,151572307.0,-8.0
2025-04-23,시금치(일반),64560.0,134994800.0,68266.0,-5.4,175964300.0,-23.3,66212.0,-2.5,148973559.0,-9.4
2025-04-22,시금치(일반),63740.0,148066040.0,78960.0,-19.3,215841800.0,-31.4,66242.0,-3.8,147792008.0,0.2
2025-04-21,시금치(일반),68788.0,176987200.0,,0.0,,0.0,66359.0,3.7,150006690.0,18.0
2025-04-20,시금치(일반),,,70847.0,0.0,197252300.0,0.0,65695.0,0.0,150353738.0,0.0
2025-04-19,시금치(일반),60714.0,146923380.0,69101.0,-12.1,166407900.0,-11.7,65484.0,-7.3,154359260.0,-4.8
2025-04-18,시금치(일반),56884.0,128982450.0,65062.0,-12.6,144795400.0,-10.9,65262.0,-12.8,154942368.0,-16.8
2025-04-17,시금치(일반),63063.0,137621110.0,72551.0,-13.1,156970000.0,-12.3,64702.0,-2.5,152770626.0,-9.9
2025-04-16,시금치(일반),64062.0,142420200.0,71328.0,-10.2,163752900.0,-13.0,63892.0,0.3,148910665.0,-4.4
2025-04-15,시금치(일반),62143.0,143047200.0,76030.0,-18.3,169461850.0,-15.6,64379.0,-3.5,145468309.0,-1.7
2025-04-14,시금치(일반),73514.0,172703970.0,,0.0,,0.0,65386.0,12.4,142919772.0,20.8
2025-04-13,시금치(일반),,,72322.0,0.0,165905400.0,0.0,65939.0,0.0,143119481.0,0.0
2025-04-12,시금치(일반),68303.0,157359740.0,62450.0,9.4,159943500.0,-1.6,65809.0,3.8,143881923.0,9.4
2025-04-11,시금치(일반),66908.0,166257550.0,65728.0,1.8,163979600.0,1.4,65188.0,2.6,142448428.0,16.7
2025-04-10,시금치(일반),64652.0,173261500.0,69302.0,-6.7,167996100.0,3.1,65980.0,-2.0,141773231.0,22.2
2025-04-09,시금치(일반),64556.0,167687700.0,64993.0,-0.7,176466700.0,-5.0,65569.0,-1.5,139941583.0,19.8
2025-04-08,시금치(일반),64973.0,158368700.0,75041.0,-13.4,227469400.0,-30.4,64164.0,1.3,139031983.0,13.9
2025-04-07,시금치(일반),72739.0,178510300.0,,0.0,,0.0,63195.0,15.1,139876516.0,27.6
2025-04-06,시금치(일반),,,60406.0,0.0,178845000.0,0.0,63702.0,0.0,143271328.0,0.0
2025-04-05,시금치(일반),70926.0,156978610.0,67813.0,4.6,194768100.0,-19.4,64212.0,10.5,146306194.0,7.3
2025-04-04,시금치(일반),71088.0,156890570.0,66430.0,7.0,208693100.0,-24.8,65322.0,8.8,149927693.0,4.6
2025-04-03,시금치(일반),74364.0,147811000.0,66372.0,12.0,212139000.0,-30.3,66577.0,11.7,149097732.0,-0.9
2025-04-02,시금치(일반),71726.0,140048000.0,69383.0,3.4,236939400.0,-40.9,67404.0,6.4,146056609.0,-4.1
2025-04-01,시금치(일반),69161.0,130861100.0,76718.0,-9.9,300066200.0,-56.4,69724.0,-0.8,141632397.0,-7.6
2025-03-31,시금치(일반),90650.0,179010800.0,,0.0,,0.0,68937.0,31.5,138332326.0,29.4
2025-03-30,시금치(일반),,,66017.0,0.0,274172850.0,0.0,68452.0,0.0,137358681.0,0.0
2025-03-29,시금치(일반),81126.0,152304540.0,53607.0,51.3,239212780.0,-36.3,66989.0,21.1,138103519.0,10.3
2025-03-28,시금치(일반),87843.0,161350900.0,62290.0,41.0,257481450.0,-37.3,67356.0,30.4,136637980.0,18.1
2025-03-27,시금치(일반),74549.0,154606750.0,55060.0,35.4,218434100.0,-29.2,66587.0,12.0,133757197.0,15.6
2025-03-26,시금치(일반),75440.0,148825000.0,55618.0,35.6,226300150.0,-34.2,65803.0,14.6,131642621.0,13.1
2025-03-25,시금치(일반),73664.0,137449540.0,60973.0,20.8,256253800.0,-46.4,66271.0,11.2,132441445.0,3.8
2025-03-24,시금치(일반),94509.0,193988340.0,,0.0,,0.0,66477.0,42.2,132801748.0,46.1
2025-03-23,시금치(일반),,,57596.0,0.0,261617330.0,0.0,68004.0,0.0,136132437.0,0.0
2025-03-22,시금치(일반),84068.0,150671600.0,53738.0,56.4,239236360.0,-37.0,68623.0,22.5,137263696.0,9.8
2025-03-21,시금치(일반),80658.0,140716500.0,53164.0,51.7,229056160.0,-38.6,70381.0,14.6,137423363.0,2.4
2025-03-20,시금치(일반),81826.0,150914500.0,55601.0,47.2,214470310.0,-29.6,70589.0,15.9,134895062.0,11.9
2025-03-19,시금치(일반),75832.0,143850250.0,60961.0,24.4,231278420.0,-37.8,70650.0,7.3,135114084.0,6.5
2025-03-18,시금치(일반),89248.0,172891550.0,69969.0,27.6,279617650.0,-38.2,69665.0,28.1,135820188.0,27.3
2025-03-17,시금치(일반),96740.0,189604400.0,,0.0,,0.0,71271.0,35.7,137868114.0,37.5
2025-03-16,시금치(일반),,,55254.0,0.0,236342400.0,0.0,72648.0,0.0,142730018.0,0.0
2025-03-15,시금치(일반),88870.0,170223550.0,54200.0,64.0,235279590.0,-27.7,72831.0,22.0,147401948.0,15.5
2025-03-14,시금치(일반),81188.0,175354300.0,59634.0,36.1,265224100.0,-33.9,72515.0,12.0,149561828.0,17.2
2025-03-13,시금치(일반),69759.0,150399800.0,53400.0,30.6,242582780.0,-38.0,70811.0,-1.5,147141205.0,2.2
2025-03-12,시금치(일반),73169.0,153771100.0,49129.0,48.9,226222640.0,-32.0,69781.0,4.9,147696983.0,4.1
2025-03-11,시금치(일반),88128.0,179785900.0,51280.0,71.9,217548060.0,-17.4,69805.0,26.2,146821833.0,22.5
2025-03-10,시금치(일반),98675.0,233612600.0,,0.0,,0.0,70999.0,39.0,146802877.0,59.1
2025-03-09,시금치(일반),,,55310.0,0.0,211074080.0,0.0,71594.0,0.0,153979899.0,0.0
2025-03-08,시금치(일반),81708.0,223481120.0,54903.0,48.8,209578970.0,6.6,74296.0,10.0,164852982.0,35.6
2025-03-07,시금치(일반),76524.0,238732400.0,56080.0,36.5,202121380.0,18.1,76019.0,0.7,171827372.0,38.9
2025-03-06,시금치(일반),105010.0,363572500.0,58246.0,80.3,200595810.0,81.2,75532.0,39.0,175896289.0,106.7
2025-03-05,시금치(일반),,,61340.0,0.0,219303020.0,0.0,75239.0,0.0,173837537.0,0.0
2025-03-04,시금치(일반),69111.0,299967700.0,74511.0,-7.2,282666900.0,6.1,72483.0,-4.7,160410259.0,87.0
2025-03-03,시금치(일반),71716.0,333173660.0,,0.0,,0.0,71349.0,0.5,166734679.0,99.8
2025-03-02,시금치(일반),,,240.0,0.0,900000.0,0.0,70974.0,0.0,168206353.0,0.0
2025-03-01,시금치(일반),61367.0,258037100.0,64880.0,-5.4,259480230.0,-0.6,70151.0,-12.5,164741695.0,56.6
2025-02-28,시금치(일반),54852.0,241564600.0,58456.0,-6.2,207351170.0,16.5,69462.0,-21.0,170413885.0,41.8
2025-02-27,시금치(일반),45896.0,180759900.0,53091.0,-13.6,186242130.0,-2.9,71185.0,-35.5,175753107.0,2.8
2025-02-26,시금치(일반),51412.0,186560000.0,60589.0,-15.1,189112720.0,-1.3,72202.0,-28.8,165929759.0,12.4
2025-02-25,시금치(일반),57455.0,204844000.0,,0.0,,0.0,73156.0,-21.5,162040343.0,26.4
2025-02-24,시금치(일반),70260.0,241974100.0,51619.0,36.1,137183500.0,76.4,75215.0,-6.6,165559035.0,46.2
2025-02-23,시금치(일반),,,61976.0,0.0,144425000.0,0.0,76206.0,0.0,165942842.0,0.0
2025-02-22,시금치(일반),61023.0,190047820.0,61115.0,-0.2,150183520.0,26.5,77432.0,-21.2,166809533.0,13.9
2025-02-21,시금치(일반),60525.0,198259700.0,64675.0,-6.4,174663800.0,13.5,78783.0,-23.2,176974995.0,12.0
2025-02-20,시금치(일반),57144.0,185780400.0,58133.0,-1.7,176226500.0,5.4,77462.0,-26.2,182846973.0,1.6
2025-02-19,시금치(일반),62494.0,201561900.0,73177.0,-14.6,232686500.0,-13.4,75490.0,-17.2,192673366.0,4.6
2025-02-18,시금치(일반),79442.0,261340100.0,,0.0,,0.0,73699.0,7.8,195608519.0,33.6
2025-02-17,시금치(일반),82836.0,305613700.0,57278.0,44.6,211673460.0,44.4,72008.0,15.0,190840994.0,60.1
2025-02-16,시금치(일반),,,55708.0,0.0,212089340.0,0.0,70366.0,0.0,187994307.0,0.0
2025-02-15,시금치(일반),70846.0,296183300.0,51098.0,38.6,225294220.0,31.5,72247.0,-1.9,188244074.0,57.3
2025-02-14,시금치(일반),68996.0,321369700.0,47658.0,44.8,208138320.0,54.4,70559.0,-2.2,176806664.0,81.8
2025-02-13,시금치(일반),75801.0,386156000.0,45179.0,67.8,192857960.0,100.2,69690.0,8.8,166634240.0,131.7
2025-02-12,시금치(일반),,,,0.0,,0.0,78144.0,0.0,195819023.0,0.0
2025-02-11,시금치(일반),71920.0,362539500.0,,0.0,,0.0,78150.0,-8.0,194020644.0,86.9
2025-02-10,시금치(일반),73549.0,319921200.0,,0.0,,0.0,77320.0,-4.9,231986804.0,37.9
2025-02-09,시금치(일반),,,57847.0,0.0,213773880.0,0.0,81018.0,0.0,266201798.0,0.0
2025-02-08,시금치(일반),47049.0,195162350.0,113901.0,-58.7,723936540.0,-73.0,82265.0,-42.8,291873699.0,-33.1
2025-02-07,시금치(일반),63268.0,276338900.0,104836.0,-39.7,558883950.0,-50.6,89616.0,-29.4,286358494.0,-3.5
2025-02-06,시금치(일반),51144.0,217215500.0,87268.0,-41.4,447678720.0,-51.5,95939.0,-46.7,280724998.0,-22.6
2025-02-05,시금치(일반),51972.0,205013250.0,107460.0,-51.6,521399020.0,-60.7,99605.0,-47.8,273689251.0,-25.1
2025-02-04,시금치(일반),60848.0,258847000.0,,0.0,,0.0,98933.0,-38.5,267799378.0,-3.3
2025-02-03,시금치(일반),82320.0,301583700.0,75292.0,9.3,387173790.0,-22.1,99016.0,-16.9,268163776.0,12.5
2025-02-02,시금치(일반),,,71711.0,0.0,387052080.0,0.0,92064.0,0.0,263472169.0,0.0
2025-02-01,시금치(일반),48484.0,158191900.0,54445.0,-10.9,298798950.0,-47.1,87411.0,-44.5,253741070.0,-37.7
2025-01-31,시금치(일반),,,66897.0,0.0,312540900.0,0.0,88705.0,0.0,281096725.0,0.0
2025-01-30,시금치(일반),,,66164.0,0.0,300232100.0,0.0,89677.0,0.0,277954453.0,0.0
2025-01-29,시금치(일반),,,71154.0,0.0,314782850.0,0.0,84192.0,0.0,268419515.0,0.0
2025-01-28,시금치(일반),32492.0,102861150.0,,0.0,,0.0,80451.0,-59.6,256265781.0,-59.9
2025-01-27,시금치(일반),147953.0,620215360.0,58586.0,152.5,265109560.0,133.9,77134.0,91.8,239146365.0,159.3
2025-01-26,시금치(일반),,,58438.0,0.0,287140550.0,0.0,72893.0,0.0,216408824.0,0.0
2025-01-25,시금치(일반),119035.0,482322200.0,42651.0,179.1,227842000.0,111.7,76850.0,54.9,197223141.0,144.6
2025-01-24,시금치(일반),98112.0,384473700.0,46000.0,113.3,241359150.0,59.3,84745.0,15.8,222925290.0,72.5
2025-01-23,시금치(일반),97478.0,367415200.0,52235.0,86.6,240666770.0,52.7,83307.0,17.0,244678127.0,50.2
2025-01-22,시금치(일반),86680.0,330971050.0,59965.0,44.6,280276300.0,18.1,93968.0,-7.8,265470558.0,24.7
2025-01-21,시금치(일반),98273.0,380180000.0,,0.0,,0.0,103409.0,-5.0,290933866.0,30.7
2025-01-20,시금치(일반),101578.0,407792900.0,53687.0,89.2,219321120.0,85.9,111292.0,-8.7,306817757.0,32.9
2025-01-19,시금치(일반),,,52737.0,0.0,197654090.0,0.0,118710.0,0.0,301142079.0,0.0
2025-01-18,시금치(일반),80909.0,334484700.0,51855.0,56.0,180762900.0,85.0,114351.0,-29.2,291960292.0,14.6
2025-01-17,시금치(일반),74899.0,325541100.0,65770.0,13.9,208219830.0,56.3,110970.0,-32.5,279970660.0,16.3
2025-01-16,시금치(일반),65720.0,272473600.0,61393.0,7.0,187281410.0,45.5,107211.0,-38.7,263383533.0,3.5
2025-01-15,시금치(일반),73399.0,295011250.0,68898.0,6.5,210408640.0,40.2,103675.0,-29.2,249958319.0,18.0
2025-01-14,시금치(일반),64904.0,279117700.0,,0.0,,0.0,96455.0,-32.7,238614151.0,17.0
2025-01-13,시금치(일반),69208.0,266384510.0,59456.0,16.4,171339020.0,55.5,92007.0,-24.8,226678567.0,17.5
2025-01-12,시금치(일반),,,70059.0,0.0,190472370.0,0.0,91275.0,0.0,219089060.0,0.0
2025-01-11,시금치(일반),60419.0,239617600.0,62536.0,-3.4,166578510.0,43.8,93509.0,-35.4,212586800.0,12.7
2025-01-10,시금치(일반),59006.0,205790800.0,71224.0,-17.2,190738100.0,7.9,92914.0,-36.5,211062029.0,-2.5
2025-01-09,시금치(일반),69488.0,275868750.0,73333.0,-5.2,210230050.0,31.2,94261.0,-26.3,222443865.0,24.0
2025-01-08,시금치(일반),58636.0,250772600.0,85608.0,-31.5,257686480.0,-2.7,97077.0,-39.6,228126686.0,9.9
2025-01-07,시금치(일반),73324.0,297945000.0,,0.0,,0.0,99758.0,-26.5,226019942.0,31.8
2025-01-06,시금치(일반),81238.0,312437550.0,62775.0,29.4,184822600.0,69.0,104828.0,-22.5,227640657.0,37.3
2025-01-05,시금치(일반),,,68583.0,0.0,199438940.0,0.0,107939.0,0.0,237817490.0,0.0
2025-01-04,시금치(일반),69939.0,274662850.0,70036.0,-0.1,194791100.0,41.0,108083.0,-35.3,245662720.0,11.8
2025-01-03,시금치(일반),82873.0,312431250.0,90643.0,-8.6,254372710.0,22.8,107151.0,-22.7,254156453.0,22.9
2025-01-02,시금치(일반),,,,0.0,,0.0,104471.0,0.0,250002724.0,0.0
2025-01-01,시금치(일반),,,,0.0,,0.0,103594.0,0.0,253174301.0,0.0
2024-12-31,시금치(일반),84764.0,297293650.0,,0.0,,0.0,102042.0,-16.9,243530649.0,22.1
2024-12-30,시금치(일반),80574.0,240880050.0,93981.0,-14.3,268612010.0,-10.3,100831.0,-20.1,243290229.0,-1.0
2024-12-29,시금치(일반),,,80308.0,0.0,271047440.0,0.0,96282.0,0.0,234984747.0,0.0
2024-12-28,시금치(일반),70204.0,196745000.0,75711.0,-7.3,251310060.0,-21.7,93978.0,-25.3,223746512.0,-12.1
2024-12-27,시금치(일반),74709.0,225800520.0,67701.0,10.4,213862650.0,5.6,85783.0,-12.9,199488335.0,13.2
2024-12-26,시금치(일반),70520.0,208334600.0,60437.0,16.7,189904350.0,9.7,85906.0,-17.9,189504745.0,9.9
2024-12-25,시금치(일반),70566.0,224662750.0,60711.0,16.2,188650450.0,19.1,85519.0,-17.5,184961838.0,21.5
2024-12-24,시금치(일반),80576.0,278882600.0,,0.0,,0.0,89085.0,-9.6,188663722.0,47.8
2024-12-23,시금치(일반),67133.0,214247580.0,63937.0,5.0,210458380.0,1.8,92605.0,-27.5,191958137.0,11.6
2024-12-22,시금치(일반),,,63430.0,0.0,220847810.0,0.0,96347.0,0.0,198495903.0,0.0
2024-12-21,시금치(일반),71598.0,237626650.0,68413.0,4.7,219047830.0,8.5,92264.0,-22.4,188136916.0,26.3
2024-12-20,시금치(일반),72221.0,239523250.0,64206.0,12.5,233989110.0,2.4,88456.0,-18.4,173713750.0,37.9
2024-12-19,시금치(일반),66812.0,217160200.0,61952.0,7.8,198259050.0,9.5,86472.0,-22.7,168094504.0,29.2
2024-12-18,시금치(일반),60752.0,178499900.0,59078.0,2.8,176166300.0,1.3,83347.0,-27.1,161554294.0,10.5
2024-12-17,시금치(일반),67062.0,190661950.0,,0.0,,0.0,83288.0,-19.5,160096147.0,19.1
2024-12-16,시금치(일반),62100.0,157641830.0,55269.0,12.4,170741500.0,-7.7,86635.0,-28.3,158503521.0,-0.5
2024-12-15,시금치(일반),,,52561.0,0.0,133230090.0,0.0,89106.0,0.0,156482104.0,0.0
2024-12-14,시금치(일반),70184.0,183217100.0,66053.0,6.3,163177100.0,12.3,89693.0,-21.8,151869199.0,20.6
2024-12-13,시금치(일반),72691.0,169689450.0,55023.0,32.1,127627540.0,33.0,90652.0,-19.8,151400365.0,12.1
2024-12-12,시금치(일반),80078.0,188274950.0,53822.0,48.8,119075660.0,58.1,91443.0,-12.4,152183235.0,23.7
2024-12-11,시금치(일반),74332.0,172266650.0,72499.0,2.5,157380540.0,9.5,90880.0,-18.2,151515068.0,13.7
2024-12-10,시금치(일반),60865.0,150571300.0,,0.0,,0.0,91678.0,-33.6,155258449.0,-3.0
2024-12-09,시금치(일반),68466.0,159772140.0,67498.0,1.4,148083800.0,7.9,92211.0,-25.8,163131612.0,-2.1
2024-12-08,시금치(일반),,,73721.0,0.0,158070680.0,0.0,92686.0,0.0,167452467.0,0.0
2024-12-07,시금치(일반),74969.0,158540650.0,76206.0,-1.6,177929510.0,-10.9,92483.0,-18.9,172250932.0,-8.0
2024-12-06,시금치(일반),75782.0,177855900.0,70799.0,7.0,179721970.0,-1.0,90535.0,-16.3,175474566.0,1.4
2024-12-05,시금치(일반),73895.0,198687410.0,79091.0,-6.6,215081040.0,-7.6,87518.0,-15.6,171210380.0,16.0
2024-12-04,시금치(일반),68228.0,179529300.0,76145.0,-10.4,225264250.0,-20.3,84462.0,-19.2,161521333.0,11.1
2024-12-03,시금치(일반),62374.0,163700350.0,,0.0,,0.0,80752.0,-22.8,151130787.0,8.3
2024-12-02,시금치(일반),76089.0,201265590.0,,0.0,,0.0,78622.0,-3.2,143171686.0,40.6
2024-12-01,시금치(일반),,,58677.0,0.0,172473810.0,0.0,78382.0,0.0,138425859.0,0.0
2024-11-30,시금치(일반),63153.0,154367170.0,56324.0,12.1,147090730.0,4.9,79396.0,-20.5,132845127.0,16.2
2024-11-29,시금치(일반),53132.0,105617680.0,61660.0,-13.8,141266970.0,-25.2,81341.0,-34.7,132789684.0,-20.5
2024-11-28,시금치(일반),67114.0,141018850.0,54254.0,23.7,122434130.0,15.2,81410.0,-17.6,131875673.0,6.9
2024-11-27,시금치(일반),65024.0,156208200.0,71068.0,-8.5,173103400.0,-9.8,81932.0,-20.6,135003580.0,15.7
2024-11-26,시금치(일반),69803.0,173449650.0,,0.0,,0.0,79647.0,-12.4,138690786.0,25.1
2024-11-25,시금치(일반),67336.0,184142400.0,50467.0,33.4,117590640.0,56.6,76861.0,-12.4,144180473.0,27.7
2024-11-24,시금치(일반),,,60104.0,0.0,148057150.0,0.0,75757.0,0.0,141461501.0,0.0
2024-11-23,시금치(일반),64222.0,148657160.0,57699.0,11.3,149420270.0,-0.5,76954.0,-16.5,141646923.0,4.9
2024-11-22,시금치(일반),69650.0,164415450.0,62055.0,12.2,157900120.0,4.1,75401.0,-7.6,137384317.0,19.7
2024-11-21,시금치(일반),69514.0,196132900.0,58698.0,18.4,150612100.0,30.2,73411.0,-5.3,135248795.0,45.0
2024-11-20,시금치(일반),69305.0,191426600.0,69404.0,-0.1,212447690.0,-9.9,73467.0,-5.7,137574657.0,39.1
2024-11-19,시금치(일반),62410.0,161298200.0,,0.0,,0.0,74925.0,-16.7,141695123.0,13.8
2024-11-18,시금치(일반),73345.0,193975050.0,47210.0,55.4,124211700.0,56.2,76224.0,-3.8,146994101.0,32.0
2024-11-17,시금치(일반),,,64513.0,0.0,164528780.0,0.0,77871.0,0.0,150228322.0,0.0
