품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
뉴그린,2015,27,5,5468.806071636395,5881910.0,1120.0
뉴그린,2015,28,6,4812.014194002611,6063500.0,1366.0
뉴그린,2015,29,6,4797.381809310805,5465000.0,1310.0
뉴그린,2015,30,6,4860.145784295374,6996100.0,1450.0
뉴그린,2015,31,6,6349.869467076275,6508100.0,1016.0
뉴그린,2015,32,6,9768.231685951947,13186850.0,1342.0
뉴그린,2015,33,6,5197.948690865907,8536200.0,1656.0
뉴그린,2015,34,6,3904.597257691985,7394700.0,1934.0
뉴그린,2015,35,6,3526.725055995307,5348400.0,1528.0
뉴그린,2015,36,6,3310.272929120419,6260200.0,1902.0
뉴그린,2015,37,6,3846.306411899593,5327900.0,1534.0
뉴그린,2015,38,6,2924.5483712174114,5363000.0,1758.0
뉴그린,2015,39,6,2562.632420232566,3909000.0,1492.0
뉴그린,2015,40,4,5204.478976951175,5010600.0,1048.0
뉴그린,2015,41,6,4525.675653586705,6450500.0,1600.0
뉴그린,2015,42,6,3698.231203982521,6436600.0,1792.0
뉴그린,2015,43,6,3104.9126223281346,5501600.0,1822.0
뉴그린,2015,44,6,2616.044813285777,5709400.0,2220.0
뉴그린,2015,45,6,4163.001760846797,5507600.0,1328.0
뉴그린,2015,46,6,2638.7583831030247,4115300.0,1724.0
뉴그린,2015,47,6,2142.876640918521,3055200.0,1434.0
뉴그린,2015,48,6,3456.453680611536,7608900.0,1808.0
뉴그린,2015,49,6,6731.9171277048035,6701100.0,1014.0
뉴그린,2015,50,6,8816.9457198657,8576600.0,1036.0
뉴그린,2015,51,6,7196.313907702576,8001900.0,1132.0
뉴그린,2015,52,6,6957.164883274118,8414000.0,1278.0
뉴그린,2015,53,4,7944.12555168628,5760900.0,780.0
뉴그린,2016,1,6,4866.755742007696,7393100.0,1418.0
뉴그린,2016,2,6,2476.0016472455895,4261200.0,1752.0
뉴그린,2016,3,6,2258.82909674623,2306500.0,1048.0
뉴그린,2016,4,6,4106.357800116238,4091200.0,1066.0
뉴그린,2016,5,6,2972.2640792651528,3625400.0,1248.0
뉴그린,2016,6,3,2755.8467498556656,2171000.0,774.0
뉴그린,2016,7,6,2036.8446777495917,2564900.0,1302.0
뉴그린,2016,8,7,3886.8763051125716,5185625.0,1322.0
뉴그린,2016,9,6,3063.08610944041,4756600.0,1570.0
뉴그린,2016,10,6,3138.245120799101,3255100.0,1126.0
뉴그린,2016,11,6,3592.9315111031833,5151400.0,1424.0
뉴그린,2016,12,6,4270.844171930827,4733375.0,1122.0
뉴그린,2016,13,6,3268.0072898047642,4628049.0,1594.0
뉴그린,2016,14,6,2982.4462105397943,3682475.0,1335.0
뉴그린,2016,15,6,2268.8317420863755,3870200.0,1754.0
뉴그린,2016,16,6,2692.49665092412,3497750.0,1918.0
뉴그린,2016,17,6,3215.663285936065,5047550.0,1682.0
뉴그린,2016,18,6,3516.3438647114367,6812599.0,2052.0
뉴그린,2016,19,6,3745.7821775406687,6363575.0,1838.0
뉴그린,2016,20,6,2118.2137657380777,4203400.0,2022.0
뉴그린,2016,21,6,2836.866396624841,4649600.0,1688.0
뉴그린,2016,22,6,2358.7307103271405,4627837.0,2191.0
뉴그린,2016,23,6,2092.625477817985,3964662.0,1926.0
뉴그린,2016,24,6,2639.197150692811,4311775.0,1692.0
뉴그린,2016,25,6,5158.56823511745,5791900.0,1402.0
뉴그린,2016,26,6,6828.7731675786645,8217104.0,1268.0
뉴그린,2016,27,6,6503.880457340517,7304200.0,1178.0
뉴그린,2016,28,6,15298.692305782693,11973470.0,784.0
뉴그린,2016,29,6,16466.526764212653,10217325.0,656.0
뉴그린,2016,30,6,12842.812488154867,7814920.0,608.0
뉴그린,2016,31,5,19007.937314878105,7192800.0,460.0
뉴그린,2016,32,6,15936.034382646925,7156200.0,498.0
뉴그린,2016,33,6,19392.624223602485,6244900.0,310.0
뉴그린,2016,34,6,21645.771159734573,4220530.0,216.0
뉴그린,2016,35,6,23795.512040714995,7019500.0,306.0
뉴그린,2016,36,6,13534.027234917861,6236687.0,508.0
뉴그린,2016,37,3,10089.556906272022,2036175.0,190.0
뉴그린,2016,38,6,10845.524946785275,6026300.0,606.0
뉴그린,2016,39,6,10414.603601610368,6765125.0,690.0
뉴그린,2016,40,6,6550.662651054266,4012100.0,622.0
뉴그린,2016,41,6,10573.863910232665,7153000.0,782.0
뉴그린,2016,42,6,6689.413613586738,5227800.0,780.0
뉴그린,2016,43,6,5359.628374979225,3817000.0,686.0
뉴그린,2016,44,6,5685.926831908991,3720625.0,682.0
뉴그린,2016,45,6,5167.839349875994,4689075.0,964.0
뉴그린,2016,46,6,1782.0627517487208,2315800.0,1358.0
뉴그린,2016,47,6,1095.1984498022366,1119000.0,1090.0
뉴그린,2016,48,6,2231.440775053355,1736800.0,784.0
뉴그린,2016,49,6,2376.2540987713905,2274900.0,1104.0
뉴그린,2016,50,6,2177.0311871717668,2358550.0,1144.0
뉴그린,2016,51,6,2308.553475720088,2188900.0,996.0
뉴그린,2016,52,6,2744.0418183724723,2600500.0,936.0
뉴그린,2017,1,5,3254.342978014608,2226800.0,708.0
뉴그린,2017,2,6,2750.623981006201,2971600.0,1088.0
뉴그린,2017,3,6,2257.558188830013,2013250.0,892.0
뉴그린,2017,4,5,1375.6974316076462,1312320.0,950.0
뉴그린,2017,5,4,1578.3364763767306,1175500.0,740.0
뉴그린,2017,6,6,1585.7691417842009,1784575.0,1164.0
뉴그린,2017,7,6,3323.428156417287,2591900.0,800.0
뉴그린,2017,8,6,2585.6222825013024,2503722.0,984.0
뉴그린,2017,9,6,3758.1173618032662,3807312.0,1040.0
뉴그린,2017,10,6,2212.037488468364,3242200.0,1424.0
뉴그린,2017,11,6,2741.4427485521232,2469540.0,886.0
뉴그린,2017,12,6,2858.4615874168044,2787800.0,1040.0
뉴그린,2017,13,6,5483.538040664294,3651160.0,650.0
뉴그린,2017,14,6,8425.497252423893,5055700.0,612.0
뉴그린,2017,15,6,7446.5336444271625,5249000.0,710.0
뉴그린,2017,16,6,6692.745952160166,3428540.0,516.0
뉴그린,2017,17,6,9534.526623271142,4924000.0,524.0
뉴그린,2017,18,6,9436.335598702393,4935800.0,532.0
뉴그린,2017,19,6,7381.832249256279,3719900.0,552.0
뉴그린,2017,20,6,5534.348779006577,3334700.0,612.0
뉴그린,2017,21,6,3787.0737745830443,3844900.0,1130.0
뉴그린,2017,22,6,1903.9084834458602,2526220.0,1330.0
뉴그린,2017,23,6,1698.5165368549453,2383700.0,1386.0
뉴그린,2017,24,6,1594.4875224841019,2629300.0,1690.0
뉴그린,2017,25,6,1156.9704126713243,2088540.0,1794.0
뉴그린,2017,26,6,1237.2253790653274,1623620.0,1468.0
뉴그린,2017,27,6,2151.9870074859687,3398100.0,1578.0
뉴그린,2017,28,6,3540.4941332177245,5244800.0,1574.0
뉴그린,2017,29,6,7896.139996802244,10060400.0,1290.0
뉴그린,2017,30,6,7906.776628626609,9814930.0,1308.0
뉴그린,2017,31,5,10155.985931177845,9908000.0,986.0
뉴그린,2017,32,6,11350.30449131794,9129300.0,806.0
뉴그린,2017,33,6,5608.1107723861705,6062600.0,1030.0
뉴그린,2017,34,6,4861.373938982187,3903900.0,892.0
뉴그린,2017,35,6,13663.269962655104,7116200.0,558.0
뉴그린,2017,36,6,7912.587308364561,7108000.0,822.0
뉴그린,2017,37,6,7348.429221292706,5032100.0,792.0
뉴그린,2017,38,6,7597.215414756033,5461500.0,794.0
뉴그린,2017,39,6,5216.031224361387,3438883.0,680.0
뉴그린,2017,40,3,7217.558476236714,3421900.0,466.0
뉴그린,2017,41,6,3895.2955699233225,3384800.0,876.0
뉴그린,2017,42,6,6784.207729964382,3449525.0,560.0
뉴그린,2017,43,6,4816.662554027843,4356300.0,872.0
뉴그린,2017,44,6,4348.049382026179,3103940.0,748.0
뉴그린,2017,45,6,3919.787213684043,3577800.0,1020.0
뉴그린,2017,46,6,2717.5296342384004,2167700.0,852.0
뉴그린,2017,47,6,3140.424822369662,2913600.0,918.0
뉴그린,2017,48,6,2728.9438040043897,2430000.0,944.0
뉴그린,2017,49,6,1404.6820893850502,1510900.0,1080.0
뉴그린,2017,50,6,4166.696067398963,3390000.0,874.0
뉴그린,2017,51,6,3354.633819339702,2551700.0,898.0
뉴그린,2017,52,6,4161.00270973788,4056840.0,934.0
뉴그린,2018,1,5,3645.060102289974,2715200.0,758.0
뉴그린,2018,2,6,2326.6141092224484,2816460.0,1184.0
뉴그린,2018,3,6,2792.895037327624,2591040.0,982.0
뉴그린,2018,4,6,3676.3724729086175,2529300.0,688.0
뉴그린,2018,5,6,3179.3379758250303,3250200.0,1012.0
뉴그린,2018,6,6,3671.242809797701,3239900.0,948.0
뉴그린,2018,7,4,3014.7850082656014,2057600.0,624.0
뉴그린,2018,8,6,2220.3030055970617,2553740.0,1296.0
뉴그린,2018,9,6,2672.3462126319496,3027080.0,1150.0
뉴그린,2018,10,6,3705.0487937514445,3013800.0,840.0
뉴그린,2018,11,6,5136.645284243627,4025492.0,806.0
뉴그린,2018,12,6,3602.82037753771,3945400.0,1194.0
뉴그린,2018,13,6,4671.023552104344,4886700.0,1180.0
뉴그린,2018,14,6,2768.9518685368093,3016600.0,1134.0
뉴그린,2018,15,6,4688.781931368235,5499900.0,1168.0
뉴그린,2018,16,6,5205.7316922708005,4975400.0,1046.0
뉴그린,2018,17,6,3076.5678107263197,4373800.0,1326.0
뉴그린,2018,18,6,2914.138430418486,3468900.0,1246.0
뉴그린,2018,19,6,2385.0376194617543,2812680.0,1186.0
뉴그린,2018,20,6,2135.458994415278,2211700.0,1094.0
뉴그린,2018,21,6,3093.3856079023785,3841000.0,1414.0
뉴그린,2018,22,6,2122.5426754409887,2596600.0,1280.0
뉴그린,2018,23,6,2819.5996551369067,3907900.0,1412.0
뉴그린,2018,24,6,1349.31291486684,2290700.0,1708.0
뉴그린,2018,25,6,1335.9755890018412,2064500.0,1534.0
뉴그린,2018,26,6,2577.487118959551,3666300.0,1582.0
뉴그린,2018,27,6,4195.663829085169,3693220.0,1038.0
뉴그린,2018,28,6,10806.009909052538,8749300.0,832.0
뉴그린,2018,29,6,7533.884480560464,5776700.0,764.0
뉴그린,2018,30,6,7726.942164116077,5007400.0,694.0
뉴그린,2018,31,5,12724.479763268424,5389700.0,452.0
뉴그린,2018,32,6,17497.750455373407,9070900.0,534.0
뉴그린,2018,33,6,21805.462550455744,7357500.0,342.0
뉴그린,2018,34,5,22115.009157509157,4137300.0,212.0
뉴그린,2018,35,5,22302.57929136567,4287000.0,198.0
뉴그린,2018,36,6,29558.875205254517,6327100.0,220.0
뉴그린,2018,37,6,13570.659085081286,5204300.0,364.0
뉴그린,2018,38,6,9846.09868319327,4234800.0,494.0
뉴그린,2018,39,3,8549.442075337598,2798200.0,328.0
뉴그린,2018,40,6,6891.866459627329,2831100.0,418.0
뉴그린,2018,41,6,9166.423914063233,3326500.0,380.0
뉴그린,2018,42,6,15759.852488865923,3687000.0,256.0
뉴그린,2018,43,6,8663.471984777954,3311100.0,400.0
뉴그린,2018,44,6,4235.525771611343,3259700.0,744.0
뉴그린,2018,45,6,2886.745286436069,2244600.0,852.0
뉴그린,2018,46,6,1684.7800191025206,1178900.0,706.0
뉴그린,2018,47,6,1765.330403363294,1350800.0,774.0
뉴그린,2018,48,5,1534.188348306991,1209600.0,808.0
뉴그린,2018,49,6,2223.2177459114705,1499800.0,874.0
뉴그린,2018,50,6,1338.768710882654,1051700.0,830.0
뉴그린,2018,51,6,2036.7971213323833,1909000.0,972.0
뉴그린,2018,52,6,1164.4227862308032,1458100.0,1246.0
뉴그린,2019,1,5,5058.832354859753,2668500.0,574.0
뉴그린,2019,2,6,940.756535094309,1314300.0,1248.0
뉴그린,2019,3,6,1029.172669650611,791200.0,790.0
뉴그린,2019,4,6,2132.650514337752,1757620.0,850.0
뉴그린,2019,5,6,1990.8994010425067,1694200.0,868.0
뉴그린,2019,6,3,1079.5215609169097,746100.0,706.0
뉴그린,2019,7,6,1301.6414521870645,986700.0,748.0
뉴그린,2019,8,6,1464.959183212514,1565900.0,1132.0
뉴그린,2019,9,6,2417.471200905284,2463100.0,1030.0
뉴그린,2019,10,6,1227.8528310326767,1629700.0,1238.0
뉴그린,2019,11,6,1302.0051843301862,1483700.0,1178.0
뉴그린,2019,12,6,3214.192842786257,2577200.0,902.0
뉴그린,2019,13,6,5783.6898274776295,4333300.0,720.0
뉴그린,2019,14,6,5338.127407202438,5003100.0,962.0
뉴그린,2019,15,6,6621.686868686869,3863800.0,616.0
뉴그린,2019,16,6,6806.296367046384,5223600.0,812.0
뉴그린,2019,17,6,3467.4940767162134,2684500.0,800.0
뉴그린,2019,18,6,5896.295550183543,3447900.0,556.0
뉴그린,2019,19,6,6668.631839582121,5303000.0,888.0
뉴그린,2019,20,6,2464.417595869083,2396300.0,1060.0
뉴그린,2019,21,5,2297.1148498156704,2733400.0,1198.0
뉴그린,2019,22,6,4231.867130559628,4173400.0,994.0
뉴그린,2019,23,6,5211.62636225742,6660300.0,1300.0
뉴그린,2019,24,6,3860.1482868041608,3727000.0,1152.0
뉴그린,2019,25,6,4359.640079624524,5023700.0,1150.0
뉴그린,2019,26,6,3294.70089532808,4211200.0,1302.0
뉴그린,2019,27,6,3819.3684574859035,3949700.0,1058.0
뉴그린,2019,28,6,5637.16255798411,4373400.0,761.0
뉴그린,2019,29,6,2360.525892238682,2739400.0,1255.0
뉴그린,2019,30,6,5091.428936282378,3758400.0,784.0
뉴그린,2019,31,5,8035.808839627805,3657200.0,452.0
뉴그린,2019,32,6,16552.9096469569,11965200.0,783.0
뉴그린,2019,33,6,7242.651416122004,4548200.0,626.0
뉴그린,2019,34,6,5322.955441756406,5145600.0,1014.0
뉴그린,2019,35,6,2671.5921554430874,3564100.0,1326.0
뉴그린,2019,36,6,2426.2900089721165,3052800.0,1282.0
뉴그린,2019,37,4,3818.405542544887,1930500.0,501.0
뉴그린,2019,38,6,10558.5353921619,7287000.0,756.0
뉴그린,2019,39,6,8920.89389949177,6354600.0,709.0
뉴그린,2019,40,6,7202.470508046033,5080400.0,718.0
뉴그린,2019,41,6,8723.524061824273,6119100.0,756.0
뉴그린,2019,42,6,8230.513754609181,7596700.0,930.0
뉴그린,2019,43,6,4397.107664486066,3168300.0,676.0
뉴그린,2019,44,6,3716.623085803171,2488500.0,722.0
뉴그린,2019,45,5,7094.469007093093,3602300.0,504.0
뉴그린,2019,46,5,13852.717823395244,3769700.0,278.0
뉴그린,2019,47,6,19218.88176323161,5161500.0,266.0
뉴그린,2019,48,6,15372.16316362444,3809100.0,260.0
뉴그린,2019,49,4,13107.223613251155,3132900.0,266.0
뉴그린,2019,50,5,15320.922827172826,2768600.0,190.0
뉴그린,2019,51,6,14117.310606060606,4658200.0,332.0
뉴그린,2019,52,6,10898.14365544674,6181600.0,566.0
뉴그린,2020,1,2,10382.894736842105,1578200.0,152.0
뉴그린,2020,2,6,6404.407913136704,2688800.0,404.0
뉴그린,2020,3,6,11158.93493761141,2501400.0,218.0
뉴그린,2020,4,5,6931.752964426877,4251100.0,570.0
뉴그린,2020,5,5,2871.6431623931626,1129400.0,442.0
뉴그린,2020,6,6,2009.027414848597,882600.0,420.0
뉴그린,2020,7,6,3990.6272540382033,1752100.0,482.0
뉴그린,2020,8,6,3274.468599659502,1925200.0,646.0
뉴그린,2020,9,6,3143.863893960643,2131100.0,718.0
뉴그린,2020,10,6,1734.9424157067422,1784700.0,1052.0
뉴그린,2020,11,6,2527.1580561953524,2086000.0,984.0
뉴그린,2020,12,6,3471.2086054864353,2121600.0,714.0
뉴그린,2020,13,6,2931.7120411850374,2765900.0,990.0
뉴그린,2020,14,6,1882.6043379034302,2054300.0,1120.0
뉴그린,2020,15,6,2142.0323839768175,2016600.0,1016.0
뉴그린,2020,16,6,1677.0032872750335,1722500.0,1084.0
뉴그린,2020,17,6,1758.8955848053565,1304600.0,874.0
뉴그린,2020,18,6,4778.07868848568,3151500.0,678.0
뉴그린,2020,19,6,2941.1003472204175,3057300.0,1112.0
뉴그린,2020,20,6,2837.3815896050874,1898800.0,728.0
뉴그린,2020,21,6,1482.2112732974877,1747800.0,1360.0
뉴그린,2020,22,5,1860.977421937388,1952500.0,1080.0
뉴그린,2020,23,6,2158.3494345562626,2867900.0,1324.0
뉴그린,2020,24,6,1668.123272174009,1679200.0,1028.0
뉴그린,2020,25,6,3297.689222429544,3693200.0,1192.0
뉴그린,2020,26,6,4241.9312446354525,4036100.0,1034.0
뉴그린,2020,27,6,5955.570820577374,5061900.0,886.0
뉴그린,2020,28,6,8145.111622919668,7222700.0,936.0
뉴그린,2020,29,6,3484.109901039456,3476800.0,1018.0
뉴그린,2020,30,6,1774.6278639386437,2284700.0,1292.0
뉴그린,2020,31,5,7180.461993291261,4702400.0,700.0
뉴그린,2020,32,6,7767.217335866245,6601600.0,910.0
뉴그린,2020,33,6,12059.539974526342,6230900.0,532.0
뉴그린,2020,34,6,17384.484543234543,7909600.0,454.0
뉴그린,2020,35,6,10640.780286030438,5864000.0,594.0
뉴그린,2020,36,6,10932.898290005076,5353600.0,498.0
뉴그린,2020,37,6,7543.850515253632,5376800.0,740.0
뉴그린,2020,38,6,6543.779571767529,4174500.0,630.0
뉴그린,2020,39,6,7607.631899502597,5568000.0,740.0
뉴그린,2020,40,3,6803.394236482472,2647800.0,400.0
뉴그린,2020,41,6,2715.954835697828,2652600.0,1040.0
뉴그린,2020,42,6,3710.4792914224095,3411500.0,940.0
뉴그린,2020,43,6,5574.57552498671,2674200.0,550.0
뉴그린,2020,44,6,5533.88980260444,4153100.0,750.0
뉴그린,2020,45,6,4635.034565144609,3411300.0,742.0
뉴그린,2020,46,6,5670.036985174505,2500200.0,492.0
뉴그린,2020,47,6,3849.6655043893825,2447100.0,696.0
뉴그린,2020,48,6,1838.1404815349185,1790000.0,1146.0
뉴그린,2020,49,6,2836.5990089574993,1212800.0,452.0
뉴그린,2020,50,6,2266.30481502946,1231500.0,542.0
뉴그린,2020,51,6,2622.213997972927,1129600.0,438.0
뉴그린,2020,52,6,2800.4166997722336,2170300.0,820.0
뉴그린,2020,53,4,3806.1956203602695,1859000.0,532.0
뉴그린,2021,1,6,3063.7606560605414,2383500.0,828.0
뉴그린,2021,2,6,2486.818453259751,1345700.0,560.0
뉴그린,2021,3,6,4077.0591504446043,2592900.0,670.0
뉴그린,2021,4,6,2153.8344994509835,2228400.0,1034.0
뉴그린,2021,5,6,2675.353707334567,2990800.0,1104.0
뉴그린,2021,6,4,4603.359151327345,1897800.0,652.0
뉴그린,2021,7,6,1466.4218931620117,2385100.0,1550.0
뉴그린,2021,8,6,3387.7814364516494,1719400.0,538.0
뉴그린,2021,9,6,3626.62425113083,2530500.0,786.0
뉴그린,2021,10,6,4014.6079664888025,3037600.0,834.0
뉴그린,2021,11,6,3985.696593304249,3526500.0,882.0
뉴그린,2021,12,6,3463.6164423608457,2996900.0,866.0
뉴그린,2021,13,6,3547.6447919324796,3206600.0,940.0
뉴그린,2021,14,6,7688.174459073706,3508700.0,468.0
뉴그린,2021,15,6,3662.8292714146905,2982500.0,800.0
뉴그린,2021,16,6,7488.8246868617325,3478300.0,476.0
뉴그린,2021,17,6,5230.515691529268,4031600.0,768.0
뉴그린,2021,18,6,7287.570440208223,3427100.0,482.0
뉴그린,2021,19,6,9991.40847800637,3720700.0,370.0
뉴그린,2021,20,6,5285.699685392892,3322500.0,614.0
뉴그린,2021,21,6,8730.540106907241,3410500.0,448.0
뉴그린,2021,22,6,5787.959331030533,4244500.0,760.0
뉴그린,2021,23,6,6875.537771195665,3679200.0,568.0
뉴그린,2021,24,6,5794.4932415946905,3809900.0,812.0
뉴그린,2021,25,6,4805.182400893445,4282600.0,963.0
뉴그린,2021,26,6,3128.3926732230407,2246600.0,800.0
뉴그린,2021,27,6,3642.354420166772,3979800.0,1118.0
뉴그린,2021,28,6,1485.226314026744,1172900.0,836.0
뉴그린,2021,29,6,6477.031240890224,4652000.0,710.0
뉴그린,2021,30,6,5591.535476868809,2993000.0,696.0
뉴그린,2021,31,5,12007.018537975504,4903800.0,460.0
뉴그린,2021,32,6,6595.387673277711,4730900.0,714.0
뉴그린,2021,33,6,5885.829398566741,3543000.0,632.0
뉴그린,2021,34,6,3338.9385517926453,2584900.0,820.0
뉴그린,2021,35,6,7299.480933254893,6417400.0,852.0
뉴그린,2021,36,6,9090.128729556023,8266600.0,950.0
뉴그린,2021,37,6,11424.031544610814,9619100.0,876.0
뉴그린,2021,38,2,5477.634408602151,2002200.0,366.0
뉴그린,2021,39,6,2759.042185421913,3114200.0,1088.0
뉴그린,2021,40,6,4678.743730135926,4069500.0,898.0
뉴그린,2021,41,6,5091.025567844687,4959000.0,992.0
뉴그린,2021,42,6,10414.619516713385,10042600.0,1026.0
뉴그린,2021,43,6,9112.81829527525,10193000.0,1154.0
뉴그린,2021,44,6,3227.779846468711,3887800.0,1294.0
뉴그린,2021,45,6,1956.2747012688596,2176500.0,1134.0
뉴그린,2021,46,6,2058.470653118686,2020500.0,996.0
뉴그린,2021,47,4,4833.928571428572,1658600.0,412.0
뉴그린,2021,48,6,2849.8236742163986,2626900.0,998.0
뉴그린,2021,49,6,2784.7666490219804,1755000.0,674.0
뉴그린,2021,50,6,3416.589195761682,2279500.0,730.0
뉴그린,2021,51,6,3566.325562748616,2959700.0,864.0
뉴그린,2021,52,5,5785.344887348993,3012300.0,756.0
뉴그린,2022,1,6,4663.134707067965,3410700.0,820.0
뉴그린,2022,2,6,4121.774401801161,2725200.0,712.0
뉴그린,2022,3,6,4325.619387803854,3088000.0,738.0
뉴그린,2022,4,7,6791.334905174191,3940000.0,616.0
뉴그린,2022,5,2,3785.0,1730300.0,442.0
뉴그린,2022,6,6,2936.106301106301,2011100.0,680.0
뉴그린,2022,7,6,1806.315245793073,1421900.0,814.0
뉴그린,2022,8,6,2250.4937512365964,1222200.0,542.0
뉴그린,2022,9,6,3983.719297910267,3090200.0,750.0
뉴그린,2022,10,6,2739.3074018513616,2975500.0,1106.0
뉴그린,2022,11,6,2251.1816578483244,1335900.0,630.0
뉴그린,2022,12,6,3596.9177662528946,1896600.0,632.0
뉴그린,2022,13,6,11175.16368286445,3391500.0,324.0
뉴그린,2022,14,6,4806.773464110546,3535500.0,766.0
뉴그린,2022,15,6,6114.725157488316,1926600.0,376.0
뉴그린,2022,16,6,7141.015151515152,2253800.0,328.0
뉴그린,2022,17,6,11359.080233308845,3198000.0,284.0
뉴그린,2022,18,6,11330.0983436853,3163900.0,286.0
뉴그린,2022,19,6,10848.337315810435,3822000.0,348.0
뉴그린,2022,20,6,4603.037439613527,2045500.0,448.0
뉴그린,2022,21,6,3429.6109385783298,2162800.0,656.0
뉴그린,2022,22,6,4804.810729012856,2397800.0,496.0
뉴그린,2022,23,6,5251.031063321386,3304200.0,632.0
뉴그린,2022,24,6,3276.5550593926782,3110200.0,972.0
뉴그린,2022,25,6,5576.827523914206,4168400.0,736.0
뉴그린,2022,26,6,6548.957311352042,5979600.0,916.0
뉴그린,2022,27,6,16214.851761185912,9139200.0,576.0
뉴그린,2022,28,6,16139.215057699175,7510100.0,464.0
뉴그린,2022,29,6,7399.743652875462,5481600.0,704.0
뉴그린,2022,30,6,5825.864767480093,3760300.0,728.0
뉴그린,2022,31,5,6676.607414930181,3988800.0,582.0
뉴그린,2022,32,6,6094.758535568119,4207400.0,714.0
뉴그린,2022,33,6,12519.34352831092,7372900.0,570.0
뉴그린,2022,34,6,13731.951828930529,10610000.0,786.0
뉴그린,2022,35,6,7331.809679515395,6645900.0,916.0
뉴그린,2022,36,5,6408.408357661303,2975900.0,478.0
뉴그린,2022,37,5,6366.527617107449,3666400.0,576.0
뉴그린,2022,38,6,4639.41297339004,3256700.0,752.0
뉴그린,2022,39,6,5178.178346810422,2568100.0,486.0
뉴그린,2022,40,6,3720.0542298424075,3270000.0,950.0
뉴그린,2022,41,6,5760.100934525857,4565300.0,828.0
뉴그린,2022,42,6,4506.523567031825,3226100.0,840.0
뉴그린,2022,43,6,4355.347807252357,3648500.0,848.0
뉴그린,2022,44,6,3357.964758004406,2454000.0,816.0
뉴그린,2022,45,6,1670.897565526102,1038600.0,732.0
뉴그린,2022,46,6,3613.1733622302677,2270700.0,666.0
뉴그린,2022,47,6,1310.1063962588464,1361700.0,960.0
뉴그린,2022,48,6,1322.5634791697437,715800.0,578.0
뉴그린,2022,49,6,1077.501313272385,783900.0,800.0
뉴그린,2022,50,6,3104.276163488934,1276900.0,462.0
뉴그린,2022,51,6,5715.047080979285,2601000.0,492.0
뉴그린,2022,52,6,4731.83796875815,2373500.0,582.0
뉴그린,2023,1,5,3895.9811213074563,3209800.0,882.0
뉴그린,2023,2,6,2475.521663803333,1951900.0,826.0
뉴그린,2023,3,6,4785.038212815991,1844800.0,596.0
뉴그린,2023,4,4,2268.720404312907,1721600.0,768.0
뉴그린,2023,5,6,2939.748714459943,1812300.0,646.0
뉴그린,2023,6,6,4615.836507936508,2229800.0,612.0
뉴그린,2023,7,6,4380.304496760171,4030700.0,968.0
뉴그린,2023,8,6,3504.55458661316,2626300.0,792.0
뉴그린,2023,9,6,5795.842427558891,3481600.0,604.0
뉴그린,2023,10,6,3588.6610052503934,3508200.0,896.0
뉴그린,2023,11,6,3956.0887334628774,3300000.0,888.0
뉴그린,2023,12,6,2931.228607585735,2430300.0,842.0
뉴그린,2023,13,6,3782.3119727409558,3018800.0,852.0
뉴그린,2023,14,6,2809.4514429686037,2620400.0,930.0
뉴그린,2023,15,6,2984.8529486824596,2983700.0,1134.0
뉴그린,2023,16,6,3907.444793597446,4242100.0,1096.0
뉴그린,2023,17,6,3458.816968813972,2317300.0,810.0
뉴그린,2023,18,6,4145.830692717968,3704200.0,966.0
뉴그린,2023,19,6,2998.0953707571593,3129400.0,1156.0
뉴그린,2023,20,6,3887.046922032972,3330200.0,908.0
뉴그린,2023,21,6,2794.5018724483793,3595300.0,1236.0
뉴그린,2023,22,6,3120.106849686005,3356100.0,1072.0
뉴그린,2023,23,6,4110.469580173176,5201800.0,1290.0
뉴그린,2023,24,6,7407.390583594301,3932400.0,822.0
뉴그린,2023,25,6,5687.9070660522275,2854600.0,600.0
뉴그린,2023,26,6,6592.088496138765,5122600.0,770.0
뉴그린,2023,27,6,5809.414682539682,3579300.0,800.0
뉴그린,2023,28,6,6557.169954865686,5625100.0,886.0
뉴그린,2023,29,6,6363.048336420293,7123000.0,1234.0
뉴그린,2023,30,6,13998.054441305183,8439800.0,592.0
뉴그린,2023,31,5,14646.039622906514,8784500.0,616.0
뉴그린,2023,32,6,10974.762656325156,9389500.0,864.0
뉴그린,2023,33,6,5581.333057828277,4951600.0,986.0
뉴그린,2023,34,6,7403.633108673283,5513900.0,794.0
뉴그린,2023,35,6,5405.740922607528,6783900.0,1320.0
뉴그린,2023,36,6,10152.879039735071,8703700.0,906.0
뉴그린,2023,37,6,7779.825056134865,9356700.0,1306.0
뉴그린,2023,38,6,12321.169650359087,7569600.0,600.0
뉴그린,2023,39,4,13097.592631750162,5505800.0,470.0
뉴그린,2023,40,6,7348.466168805979,8856200.0,1220.0
뉴그린,2023,41,6,7429.270546740586,4164200.0,578.0
뉴그린,2023,42,6,6560.9597029399765,6323700.0,936.0
뉴그린,2023,43,6,4453.194347884076,4032300.0,944.0
뉴그린,2023,44,5,4220.370505516079,3086300.0,766.0
뉴그린,2023,45,6,4419.112410886605,3196800.0,752.0
뉴그린,2023,46,6,3443.6669527391077,3227900.0,996.0
뉴그린,2023,47,6,7177.194741532977,4225900.0,690.0
뉴그린,2023,48,5,5820.1684894053315,3540400.0,680.0
뉴그린,2023,49,6,3360.9543712991986,2947400.0,836.0
